No.,Player Name,Altura,Peso,Edad,Temporada,Posicicion
1,Nikola Jokic,"6'11""",254,29,9,Big
2,Giannis Antetokounmpo,"7'0""",243,29,11,Big
3,Luka Doncic,"6'7""",230,25,6,Guard
4,Shai Gilgeous-Alexander,"6'6""",195,25,6,Guard
5,Joel Embiid,"7'0""",280,30,8,Big
6,Kawhi Leonard,"6'7""",225,32,13,Forward
7,Stephen Curry,"6'3""",185,36,15,Guard
8,Jayson Tatum,"6'8""",210,26,7,Forward
9,Kevin Durant,"6'10""",229,35,17,Forward
10,Devin Booker,"6'5""",206,27,9,Guard
11,Anthony Davis,"6'10""",253,31,12,Big
12,LeBron James,"6'9""",250,39,21,Forward
13,Jimmy Butler,"6'7""",229,34,12,Forward
14,Tyrese Haliburton,"6'5""",185,24,4,Guard
15,Donovan Mitchell,"6'1""",215,27,7,Guard
16,Jalen Brunson,"6'2""",190,27,6,Guard
17,Anthony Edwards,"6'4""",225,22,4,Forward
18,Jamal Murray,"6'4""",215,27,8,Guard
19,De'Aaron Fox,"6'3""",185,26,7,Guard
20,Paul George,"6'8""",218,33,14,Forward
21,Bam Adebayo,"6'9""",255,26,7,Big
22,Domantas Sabonis,"6'11""",241,27,8,Big
23,Damian Lillard,"6'2""",195,33,12,Guard
24,Victor Wembanyama,"7'4""",230,20,1,Big
25,Jaylen Brown,"6'6""",223,27,8,Guard
26,Karl-Anthony Towns,"7'0""",248,28,9,Big
27,Brandon Ingram,"6'8""",190,26,8,Forward
28,Zion Williamson,"6'6""",284,23,4,Big
29,Lauri Markkanen,"7'0""",240,26,7,Big
30,James Harden,"6'5""",220,34,15,Guard
31,Trae Young,"6'1""",164,25,6,Guard
32,Kyrie Irving,"6'2""",190,31,13,Guard
33,Tyrese Maxey,"6'2""",200,23,4,Guard
34,Ja Morant,"6'2""",174,24,5,Guard
35,Paolo Banchero,"6'10""",249,21,2,Forward
36,Scottie Barnes,"6'8""",225,22,3,Forward
37,Rudy Gobert,"7'1""",245,31,11,Big
38,Chet Holmgren,"7'0""",195,21,1,Big
39,Kristaps Porzingis,"7'3""",240,28,9,Big
40,Derrick White,"6'4""",190,29,7,Guard
41,Alperen Sengun,"6'9""",235,21,3,Big
42,Pascal Siakam,"6'8""",230,29,7,Forward
43,Jalen Williams,"6'6""",195,22,2,Guard
44,Julius Randle,"6'8""",250,29,10,Forward
45,Desmond Bane,"6'5""",216,25,4,Guard
46,Jaren Jackson Jr.,"6'11""",214,24,6,Big
47,Darius Garland,"6'1""",192,24,5,Guard
48,Jrue Holiday,"6'5""",205,33,15,Guard
49,OG Anunoby,"6'7""",231,26,7,Forward
50,Jarrett Allen,"6'9""",243,25,7,Big
51,Franz Wagner,"6'10""",220,22,3,Forward
52,Mikal Bridges,"6'6""",209,27,6,Forward
53,LaMelo Ball,"6'7""",181,22,4,Guard
54,Draymond Green,"6'6""",230,34,12,Big
55,DeMar DeRozan,"6'6""",218,34,15,Forward
56,Dejounte Murray,"6'5""",180,27,8,Guard
57,Cade Cunningham,"6'6""",220,22,3,Guard
58,Aaron Gordon,"6'9""",220,28,10,Forward
59,Evan Mobley,"6'11""",215,22,3,Big
60,Bradley Beal,"6'4""",207,30,12,Guard
61,Michael Porter Jr.,"6'10""",218,25,5,Forward
62,Khris Middleton,"6'7""",222,32,12,Forward
63,Brook Lopez,"7'1""",282,35,16,Big
64,Fred VanVleet,"6'1""",194,30,8,Guard
65,Anfernee Simons,"6'3""",180,24,6,Guard
66,Jerami Grant,"6'8""",210,30,10,Forward
67,CJ McCollum,"6'3""",201,32,10,Guard
68,Coby White,"6'5""",195,24,5,Guard
69,Alex Caruso,"6'4""",186,30,7,Guard
70,Jalen Johnson,"6'9""",220,22,3,Forward
71,Zach LaVine,"6'5""",200,29,10,Guard
72,Tyler Herro,"6'5""",195,24,5,Guard
73,Myles Turner,"6'11""",250,27,9,Big
74,Devin Vassell,"6'5""",200,23,4,Guard
75,Herb Jones,"6'8""",210,25,3,Forward
76,Jaden McDaniels,"6'9""",185,23,4,Forward
77,Austin Reaves,"6'5""",206,25,3,Guard
78,Tobias Harris,"6'7""",236,31,12,Forward
79,Jonathan Kuminga,"6'8""",210,21,3,Forward
80,Naz Reid,"6'9""",264,24,5,Big
81,Kyle Kuzma,"6'9""",221,28,7,Forward
82,Jalen Suggs,"6'4""",205,22,3,Guard
83,Dillon Brooks,"6'7""",225,28,7,Forward
84,Jaime Jaquez Jr.,"6'7""",225,23,1,Forward
85,Marcus Smart,"6'3""",220,30,10,Guard
86,Immanuel Quickley,"6'3""",190,24,4,Guard
87,Collin Sexton,"6'3""",190,25,6,Guard
88,D'Angelo Russell,"6'4""",193,28,9,Guard
89,Kentavious Caldwell-Pope,"6'5""",205,31,11,Guard
90,Mike Conley,"6'1""",174,36,17,Guard
91,Malcolm Brogdon,"6'5""",229,31,8,Guard
92,RJ Barrett,"6'6""",214,23,5,Guard
93,Nic Claxton,"6'11""",215,24,5,Big
94,Norm Powell,"6'3""",215,30,9,Guar
95,Nikola Vucevic,"6'10""",260,33,13,Big
96,Terry Rozier,"6'1""",190,30,9,Guard
97,Chris Paul,"6'0""",175,38,19,Guard
98,Isaiah Hartenstein,"7'0""",250,25,6,Big
99,Walker Kessler,"7'1""",204,22,2,Big
100,Brandon Miller,"6'9""",200,21,1,Forward

